,Post_ID,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,Total_Engagement,Engagement_Rate,Virality_Score,Like_View_Ratio,Engagement_Level_Calculated
0,Post_1,TikTok,#Challenge,Video,UK,4163464,339431,53135,19346,High,411912,0.09893492534101411,0.1116971348857586,8.152610422475131,Medium
1,Post_2,Instagram,#Education,Shorts,India,4155940,215240,65860,27239,Medium,308339,0.07419236081367873,0.09003955783769736,5.179093057166369,Medium
2,Post_3,Twitter,#Challenge,Video,Brazil,3666211,327143,39423,36223,Medium,402789,0.10986519870242056,0.12061826228768611,8.92319072742949,High
3,Post_4,YouTube,#Education,Shorts,Australia,917951,127125,11687,36806,Low,175618,0.1913152227079659,0.2040468391014335,13.848778420634652,High
4,Post_5,TikTok,#Dance,Post,Brazil,64866,171361,69581,6376,Medium,247318,3.8127524434989053,4.885440754786791,264.1769185705917,High
5,Post_6,Instagram,#Challenge,Shorts,Australia,1323566,136282,86979,47129,Low,270390,0.2042890192102245,0.27000466920425575,10.29657757905537,High
6,Post_7,YouTube,#Comedy,Tweet,Japan,627233,84121,97973,32648,Medium,214742,0.342364001894033,0.498562735060177,13.411443594326192,High
7,Post_8,YouTube,#Gaming,Shorts,UK,2066886,317502,45222,33638,High,396362,0.19176771239439427,0.213647003269653,15.361369712698233,High
8,Post_9,Twitter,#Education,Live Stream,India,2169523,496078,96041,30174,Medium,622293,0.2868340183533431,0.3311022745552824,22.865763580289308,High
9,Post_10,TikTok,#Gaming,Shorts,India,3898384,8634,69378,42700,Low,120712,0.03096462534219307,0.04876123029439891,0.22147638611280984,Low
10,Post_11,Instagram,#Comedy,Live Stream,Germany,4070332,379894,46012,25242,High,451148,0.11083813310560416,0.12214237069605133,9.333243578165122,High
11,Post_12,Twitter,#Music,Reel,Australia,4585669,465871,69083,8999,Medium,543953,0.11862020568863561,0.13368518312159033,10.159281012214358,High
12,Post_13,YouTube,#Viral,Shorts,Canada,4105651,195560,37627,49089,High,282276,0.06875304306186765,0.07791772851613545,4.763191026222151,Medium
13,Post_14,YouTube,#Fitness,Reel,Japan,1633015,312907,45774,30725,High,389406,0.23845831177300883,0.26648867279235033,19.16130592799209,High
14,Post_15,Twitter,#Comedy,Post,Germany,2471790,370802,54110,17081,High,441993,0.17881494787178523,0.20070596612171746,15.001355293127652,High
15,Post_16,YouTube,#Gaming,Live Stream,Canada,3079923,124237,44062,26702,Medium,195001,0.06331359582690865,0.07761979763779808,4.033769675410716,Medium
16,Post_17,Twitter,#Dance,Reel,UK,294870,213142,20351,20767,Low,254260,0.8622782921287347,0.9312951470139383,72.2833791162207,High
17,Post_18,TikTok,#Tech,Shorts,UK,2051091,24472,54704,41737,Medium,120913,0.05895057800945935,0.0856212620502942,1.1931211243187163,Medium
